title,link,publication_date,abstract,conclusions,"ml_techniques: (ex: [('Traditional ML', ['regression', 'decision tree', 'svm', 'k-means']), ('DNN', ['cnn', 'rnn', 'lstm', 'deep learning']), ('Gen AI', ['transformer', 'gan', 'diffusion model', 'bert'])])","security_privacy: (ex: [('Attack Types', ['evasion', 'poisoning', 'backdoor', 'membership inference', 'model inversion', 'data reconstruction', 'untargeted poisoning', 'energy latency attack']), ('Attacker Identity', ['patient', 'healthcare practitioner', 'ml service provider', '3rd-party healthcare organization', 'cybercriminals', 'business competitors']), ('Attacker Capability', ['training data control', 'model control', 'testing data control', 'query access', 'explanation access'])])"
Machine learning-aided risk prediction for metabolic syndrome based on 3 years study,https://www.nature.com/articles/s41598-022-06235-2,10 Feb 2022,"Metabolic syndrome (MetS) is a group of physiological states of metabolic disorders, which may increase the risk of diabetes, cardiovascular and other diseases. Therefore, it is of great significance to predict the onset of MetS and the corresponding risk factors. In this study, we investigate the risk prediction for MetS using a data set of 67,730 samples with physical examination records of three consecutive years provided by the Department of Health Management, Nanfang Hospital, Southern Medical University, P.R. China. Specifically, the prediction for MetS takes the numerical features of examination records as well as the differential features by using the examination records over the past two consecutive years, namely, the differential numerical feature (DNF) and the differential state feature (DSF), and the risk factors of the above features w.r.t different ages and genders are statistically analyzed. From numerical results, it is shown that the proposed DSF in addition to the numerical feature of examination records, significantly contributes to the risk prediction of MetS. Additionally, the proposed scheme, by using the proposed features, yields a superior performance to the state-of-the-art MetS prediction model, which provides the potential of effective prescreening the occurrence of MetS.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Machine learning-based diagnosis and risk factor analysis of cardiocerebrovascular disease based on KNHANES,https://www.nature.com/articles/s41598-022-06333-1,10 Feb 2022,"The prevalence of cardiocerebrovascular disease (CVD) is continuously increasing, and it is the leading cause of human death. Since it is difficult for physicians to screen thousands of people, high-accuracy and interpretable methods need to be presented. We developed four machine learning-based CVD classifiers (i.e., multi-layer perceptron, support vector machine, random forest, and light gradient boosting) based on the Korea National Health and Nutrition Examination Survey. We resampled and rebalanced KNHANES data using complex sampling weights such that the rebalanced dataset mimics a uniformly sampled dataset from overall population. For clear risk factor analysis, we removed multicollinearity and CVD-irrelevant variables using VIF-based filtering and the Boruta algorithm. We applied synthetic minority oversampling technique and random undersampling before ML training. We demonstrated that the proposed classifiers achieved excellent performance with AUCs over 0.853. Using Shapley value-based risk factor analysis, we identified that the most significant risk factors of CVD were age, sex, and the prevalence of hypertension. Additionally, we identified that age, hypertension, and BMI were positively correlated with CVD prevalence, while sex (female), alcohol consumption and, monthly income were negative. The results showed that the feature selection and the class balancing technique effectively improve the interpretability of models.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
GestaltMatcher facilitates rare disease matching using facial phenotype descriptors,https://www.nature.com/articles/s41588-021-01010-x,10 Feb 2022,"Many monogenic disorders cause a characteristic facial morphology. Artificial intelligence can support physicians in recognizing these patterns by associating facial phenotypes with the underlying syndrome through training on thousands of patient photographs. However, this ‘supervised’ approach means that diagnoses are only possible if the disorder was part of the training set. To improve recognition of ultra-rare disorders, we developed GestaltMatcher, an encoder for portraits that is based on a deep convolutional neural network. Photographs of 17,560 patients with 1,115 rare disorders were used to define a Clinical Face Phenotype Space, in which distances between cases define syndromic similarity. Here we show that patients can be matched to others with the same molecular diagnosis even when the disorder was not included in the training set. Together with mutation data, GestaltMatcher could not only accelerate the clinical diagnosis of patients with ultra-rare disorders and facial dysmorphism but also enable the delineation of new phenotypes.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Foudroyant cerebral venous (sinus) thrombosis triggered through CLEC-2 and GPIIb/IIIa dependent platelet activation,https://www.nature.com/articles/s44161-021-00017-1,10 Feb 2022,"Cerebral venous (sinus) thrombosis (CVT) is an unusual manifestation of venous thrombosis causing severe neurological impairment and seizures1,2. Molecular mechanisms underlying CVT, potentially involving pathological platelet activation, are unknown. Here we show that antibody-(INU1-fab)-induced cooperative signaling of two platelet receptors, C-type lectin-like receptor-2 (CLEC-2) and GPIIb/IIIa, triggers within minutes a CVT-like thrombotic syndrome in mice, characterized by tonic–myoclonic seizures, platelet consumption and death. Brain autopsy showed thrombi mainly in the cortical venules, but no intracranial hemorrhages or edema formation. Transcranial intravital microscopy revealed rapidly progressing thrombosis in the superior sagittal sinus, a main site of CVT in humans. Interfering with CLEC-2 signaling or inhibition of GPIIb/IIIa completely blocked platelet activation and CVT. Blocking GPIIb/IIIa after onset of neurological symptoms protected mice from platelet consumption, CVT and death, which was not seen after treatment with heparin. These results point to aberrant platelet activation as a major trigger of CVT and potential target for treatment.",Conclusions not available,Gen AI,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Convolutional mesh autoencoders for the 3-dimensional identification of FGFR-related craniosynostosis,https://www.nature.com/articles/s41598-021-02411-y,09 Feb 2022,"Clinical diagnosis of craniofacial anomalies requires expert knowledge. Recent studies have shown that artificial intelligence (AI) based facial analysis can match the diagnostic capabilities of expert clinicians in syndrome identification. In general, these systems use 2D images and analyse texture and colour. They are powerful tools for photographic analysis but are not suitable for use with medical imaging modalities such as ultrasound, MRI or CT, and are unable to take shape information into consideration when making a diagnostic prediction. 3D morphable models (3DMMs), and their recently proposed successors, mesh autoencoders, analyse surface topography rather than texture enabling analysis from photography and all common medical imaging modalities and present an alternative to image-based analysis. We present a craniofacial analysis framework for syndrome identification using Convolutional Mesh Autoencoders (CMAs). The models were trained using 3D photographs of the general population (LSFM and LYHM), computed tomography data (CT) scans from healthy infants and patients with 3 genetically distinct craniofacial syndromes (Muenke, Crouzon, Apert). Machine diagnosis outperformed expert clinical diagnosis with an accuracy of 99.98%, sensitivity of 99.95% and specificity of 100%. The diagnostic precision of this technique supports its potential inclusion in clinical decision support systems. Its reliance on 3D topography characterisation make it suitable for AI assisted diagnosis in medical imaging as well as photographic analysis in the clinical setting.",Conclusions not available,"Traditional ML, DNN",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
A platform for oncogenomic reporting and interpretation,https://www.nature.com/articles/s41467-022-28348-y,09 Feb 2022,"Manual interpretation of variants remains rate limiting in precision oncology. The increasing scale and complexity of molecular data generated from comprehensive sequencing of cancer samples requires advanced interpretative platforms as precision oncology expands beyond individual patients to entire populations. To address this unmet need, we introduce a Platform for Oncogenomic Reporting and Interpretation (PORI), comprising an analytic framework that facilitates the interpretation and reporting of somatic variants in cancer. PORI integrates reporting and graph knowledge base tools combined with support for manual curation at the reporting stage. PORI represents an open-source platform alternative to commercial reporting solutions suitable for comprehensive genomic data sets in precision oncology. We demonstrate the utility of PORI by matching 9,961 pan-cancer genome atlas tumours to the graph knowledge base, calculating therapeutically informative alterations, and making available reports describing select individual samples.",Conclusions not available,Gen AI,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Volatile organic compound profiling to explore primary graft dysfunction after lung transplantation,https://www.nature.com/articles/s41598-022-05994-2,08 Feb 2022,"Primary graft dysfunction (PGD) is a major determinant of morbidity and mortality following lung transplantation. Delineating basic mechanisms and molecular signatures of PGD remain a fundamental challenge. This pilot study examines if the pulmonary volatile organic compound (VOC) spectrum relate to PGD and postoperative outcomes. The VOC profiles of 58 bronchoalveolar lavage fluid (BALF) and blind bronchial aspirate samples from 35 transplant patients were extracted using solid-phase-microextraction and analyzed with comprehensive two-dimensional gas chromatography coupled to time-of-flight mass spectrometry. The support vector machine algorithm was used to identify VOCs that could differentiate patients with severe from lower grade PGD. Using 20 statistically significant VOCs from the sample headspace collected immediately after transplantation (< 6 h), severe PGD was differentiable from low PGD with an AUROC of 0.90 and an accuracy of 0.83 on test set samples. The model was somewhat effective for later time points with an AUROC of 0.80. Three major chemical classes in the model were dominated by alkylated hydrocarbons, linear hydrocarbons, and aldehydes in severe PGD samples. These VOCs may have important clinical and mechanistic implications, therefore large-scale study and potential translation to breath analysis is recommended.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
A pilot study for the prediction of liver function related scores using breath biomarkers and machine learning,https://www.nature.com/articles/s41598-022-05808-5,07 Feb 2022,"Volatile organic compounds (VOCs) present in exhaled breath can help in analysing biochemical processes in the human body. Liver diseases can be traced using VOCs as biomarkers for physiological and pathophysiological conditions. In this work, we propose non-invasive and quick breath monitoring approach for early detection and progress monitoring of liver diseases using Isoprene, Limonene, and Dimethyl sulphide (DMS) as potential biomarkers. A pilot study is performed to design a dataset that includes the biomarkers concentration analysed from the breath sample before and after study subjects performed an exercise. A machine learning approach is applied for the prediction of scores for liver function diagnosis. Four regression methods are performed to predict the clinical scores using breath biomarkers data as features set by the machine learning techniques. A significant difference was observed for isoprene concentration (p < 0.01) and for DMS concentration (p < 0.0001) between liver patients and healthy subject’s breath sample. The R-square value between actual clinical score and predicted clinical score is found to be 0.78, 0.82, and 0.85 for CTP score, APRI score, and MELD score, respectively. Our results have shown a promising result with significant different breath profiles between liver patients and healthy volunteers. The use of machine learning for the prediction of scores is found very promising for use of breath biomarkers for liver function diagnosis.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Clinical data classification with noisy intermediate scale quantum computers,https://www.nature.com/articles/s41598-022-05971-9,03 Feb 2022,"Quantum machine learning has experienced significant progress in both software and hardware development in the recent years and has emerged as an applicable area of near-term quantum computers. In this work, we investigate the feasibility of utilizing quantum machine learning (QML) on real clinical datasets. We propose two QML algorithms for data classification on IBM quantum hardware: a quantum distance classifier (qDS) and a simplified quantum-kernel support vector machine (sqKSVM). We utilize these different methods using the linear time quantum data encoding technique (\({\mathrm{log}}_{2}N\)) for embedding classical data into quantum states and estimating the inner product on the 15-qubit IBMQ Melbourne quantum computer. We match the predictive performance of our QML approaches with prior QML methods and with their classical counterpart algorithms for three open-access clinical datasets. Our results imply that the qDS in small sample and feature count datasets outperforms kernel-based methods. In contrast, quantum kernel approaches outperform qDS in high sample and feature count datasets. We demonstrate that the \({\mathrm{log}}_{2}N\) encoding increases predictive performance with up to + 2% area under the receiver operator characteristics curve across all quantum machine learning approaches, thus, making it ideal for machine learning tasks executed in Noisy Intermediate Scale Quantum computers.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Incorporating uncertainty in learning to defer algorithms for safe computer-aided diagnosis,https://www.nature.com/articles/s41598-022-05725-7,02 Feb 2022,"Deep neural networks are increasingly being used for computer-aided diagnosis, but erroneous diagnoses can be extremely costly for patients. We propose a learning to defer with uncertainty (LDU) algorithm which identifies patients for whom diagnostic uncertainty is high and defers them for evaluation by human experts. LDU was evaluated on the diagnosis of myocardial infarction (using discharge summaries), the diagnosis of any comorbidities (using structured data), and the diagnosis of pleural effusion and pneumothorax (using chest x-rays), and compared with ‘learning to defer without uncertainty information’ (LD) and ‘direct triage by uncertainty’ (DT) methods. LDU achieved the same F1 score as LD but deferred considerably fewer patients (e.g. 36% vs. 69% deferral rate for diagnosing pleural effusion with an F1 score of 0.96). Furthermore, even when many patients were assigned the wrong diagnosis with high confidence (e.g. for the diagnosis of any comorbidities) LDU achieved a 17% increase in F1 score, whereas DT was not applicable. Importantly, the weight of the defer loss in LDU can be easily adjusted to obtain the desired trade-off between diagnostic accuracy and deferral rate. In conclusion, LDU can readily augment any existing diagnostic network to reduce the risk of erroneous diagnoses in clinical practice.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Dynamic Bayesian networks for prediction of health status and treatment effect in patients with chronic lymphocytic leukemia,https://www.nature.com/articles/s41598-022-05813-8,02 Feb 2022,"Chronic lymphocytic leukemia (CLL) is the most common blood cancer in adults. The course of CLL and patients' response to treatment are varied. This variability makes it difficult to select the most appropriate treatment regimen and predict the progression of the disease. This work was aimed at developing and validating dynamic Bayesian networks (DBNs) to predict changes of the health status of patients with CLL and progression of the disease over time. Two DBNs were developed and implemented i.e. Health Status Network (HSN) and Treatment Effect Network (TEN). Based on the literature data and expert knowledge we identified relationships linking the most important factors influencing the health status and treatment effects in patients with CLL. The developed networks, and in particular TEN, were able to predict probability of survival in patients with CLL, which was in line with the survival data collected in large medical registries. The networks can be used to personalize the predictions, taking into account a priori knowledge concerning a particular patient with CLL. The proposed approach can serve as a basis for the development of artificial intelligence systems that facilitate the choice of treatment that maximizes the chances of survival in patients with CLL.",Conclusions not available,,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Sensory stimulation-based protection from impending stroke following MCA occlusion is correlated with desynchronization of widespread spontaneous local field potentials,https://www.nature.com/articles/s41598-022-05604-1,02 Feb 2022,"In a rat model of ischemic stroke by permanent occlusion of the medial cerebral artery (pMCAo), we have demonstrated using continuous recordings by microelectrode array at the depth of the ischemic territory that there is an immediate wide-spread increase in spontaneous local field potential synchrony following pMCAo that was correlated with ischemic stroke damage, but such increase was not seen in control sham-surgery rats. We further found that the underpinning source of the synchrony increase is intermittent bursts of low multi-frequency oscillations. Here we show that such increase in spontaneous LFP synchrony after pMCAo can be reduced to pre-pMCAo baseline level by delivering early (immediately after pMCAo) protective sensory stimulation that reduced the underpinning bursts. However, the delivery of a late (3 h after pMCAo) destructive sensory stimulation had no influence on the elevated LFP synchrony and its underpinning bursts. Histology confirmed both protection for the early stimulation group and an infarct for the late stimulation group. These findings highlight the unexpected importance of spontaneous LFP and its synchrony as a predictive correlate of cerebral protection or stroke infarct during the hyperacute state following pMCAo and the potential clinical relevance of stimulation to reduce EEG synchrony in acute stroke.",Conclusions not available,Gen AI,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Determining clinical course of diffuse large B-cell lymphoma using targeted transcriptome and machine learning algorithms,https://www.nature.com/articles/s41408-022-00617-5,01 Feb 2022,"Multiple studies have demonstrated that diffuse large B-cell lymphoma (DLBCL) can be divided into subgroups based on their biology; however, these biological subgroups overlap clinically. Using machine learning, we developed an approach to stratify patients with DLBCL into four subgroups based on survival characteristics. This approach uses data from the targeted transcriptome to predict these survival subgroups. Using the expression levels of 180 genes, our model reliably predicted the four survival subgroups and was validated using independent groups of patients. Multivariate analysis showed that this patient stratification strategy encompasses various biological characteristics of DLBCL, and only TP53 mutations remained an independent prognostic biomarker. This novel approach for stratifying patients with DLBCL, based on the clinical outcome of rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone therapy, can be used to identify patients who may not respond well to these types of therapy, but would otherwise benefit from alternative therapy and clinical trials.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Comparison of clinical outcomes between cystotome-assisted prechop phacoemulsification surgery and femtosecond laser-assisted cataract surgery for hard nucleus cataracts,https://www.nature.com/articles/s41433-021-01900-8,29 Jan 2022,To compare the safety and efficacy of cystotome-assisted prechop phacoemulsification surgery (CAPPS) and femtosecond laser-assisted cataract surgery (FLACS) in patients with hard nucleus cataract.,Conclusions not available,Gen AI,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Sounds of COVID-19: exploring realistic performance of audio-based digital testing,https://www.nature.com/articles/s41746-021-00553-x,28 Jan 2022,"To identify Coronavirus disease (COVID-19) cases efficiently, affordably, and at scale, recent work has shown how audio (including cough, breathing and voice) based approaches can be used for testing. However, there is a lack of exploration of how biases and methodological decisions impact these tools’ performance in practice. In this paper, we explore the realistic performance of audio-based digital testing of COVID-19. To investigate this, we collected a large crowdsourced respiratory audio dataset through a mobile app, alongside symptoms and COVID-19 test results. Within the collected dataset, we selected 5240 samples from 2478 English-speaking participants and split them into participant-independent sets for model development and validation. In addition to controlling the language, we also balanced demographics for model training to avoid potential acoustic bias. We used these audio samples to construct an audio-based COVID-19 prediction model. The unbiased model took features extracted from breathing, coughs and voice signals as predictors and yielded an AUC-ROC of 0.71 (95% CI: 0.65–0.77). We further explored several scenarios with different types of unbalanced data distributions to demonstrate how biases and participant splits affect the performance. With these different, but less appropriate, evaluation strategies, the performance could be overestimated, reaching an AUC up to 0.90 (95% CI: 0.85–0.95) in some circumstances. We found that an unrealistic experimental setting can result in misleading, sometimes over-optimistic, performance. Instead, we reported complete and reliable results on crowd-sourced data, which would allow medical professionals and policy makers to accurately assess the value of this technology and facilitate its deployment.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Asymmetry between right and left fundus images identified using convolutional neural networks,https://www.nature.com/articles/s41598-021-04323-3,27 Jan 2022,"We analyzed fundus images to identify whether convolutional neural networks (CNNs) can discriminate between right and left fundus images. We gathered 98,038 fundus photographs from the Gyeongsang National University Changwon Hospital, South Korea, and augmented these with the Ocular Disease Intelligent Recognition dataset. We created eight combinations of image sets to train CNNs. Class activation mapping was used to identify the discriminative image regions used by the CNNs. CNNs identified right and left fundus images with high accuracy (more than 99.3% in the Gyeongsang National University Changwon Hospital dataset and 91.1% in the Ocular Disease Intelligent Recognition dataset) regardless of whether the images were flipped horizontally. The depth and complexity of the CNN affected the accuracy (DenseNet121: 99.91%, ResNet50: 99.86%, and VGG19: 99.37%). DenseNet121 did not discriminate images composed of only left eyes (55.1%, p = 0.548). Class activation mapping identified the macula as the discriminative region used by the CNNs. Several previous studies used the flipping method to augment data in fundus photographs. However, such photographs are distinct from non-flipped images. This asymmetry could result in undesired bias in machine learning. Therefore, when developing a CNN with fundus photographs, care should be taken when applying data augmentation with flipping.",Conclusions not available,DNN,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Predictive structured–unstructured interactions in EHR models: A case study of suicide prediction,https://www.nature.com/articles/s41746-022-00558-0,27 Jan 2022,"Clinical risk prediction models powered by electronic health records (EHRs) are becoming increasingly widespread in clinical practice. With suicide-related mortality rates rising in recent years, it is becoming increasingly urgent to understand, predict, and prevent suicidal behavior. Here, we compare the predictive value of structured and unstructured EHR data for predicting suicide risk. We find that Naive Bayes Classifier (NBC) and Random Forest (RF) models trained on structured EHR data perform better than those based on unstructured EHR data. An NBC model trained on both structured and unstructured data yields similar performance (AUC = 0.743) to an NBC model trained on structured data alone (0.742, p = 0.668), while an RF model trained on both data types yields significantly better results (AUC = 0.903) than an RF model trained on structured data alone (0.887, p < 0.001), likely due to the RF model’s ability to capture interactions between the two data types. To investigate these interactions, we propose and implement a general framework for identifying specific structured-unstructured feature pairs whose interactions differ between case and non-case cohorts, and thus have the potential to improve predictive performance and increase understanding of clinical risk. We find that such feature pairs tend to capture heterogeneous pairs of general concepts, rather than homogeneous pairs of specific concepts. These findings and this framework can be used to improve current and future EHR-based clinical modeling efforts.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Quality assessment standards in artificial intelligence diagnostic accuracy systematic reviews: a meta-research study,https://www.nature.com/articles/s41746-021-00544-y,27 Jan 2022,"Artificial intelligence (AI) centred diagnostic systems are increasingly recognised as robust solutions in healthcare delivery pathways. In turn, there has been a concurrent rise in secondary research studies regarding these technologies in order to influence key clinical and policymaking decisions. It is therefore essential that these studies accurately appraise methodological quality and risk of bias within shortlisted trials and reports. In order to assess whether this critical step is performed, we undertook a meta-research study evaluating adherence to the Quality Assessment of Diagnostic Accuracy Studies 2 (QUADAS-2) tool within AI diagnostic accuracy systematic reviews. A literature search was conducted on all studies published from 2000 to December 2020. Of 50 included reviews, 36 performed the quality assessment, of which 27 utilised the QUADAS-2 tool. Bias was reported across all four domains of QUADAS-2. Two hundred forty-three of 423 studies (57.5%) across all systematic reviews utilising QUADAS-2 reported a high or unclear risk of bias in the patient selection domain, 110 (26%) reported a high or unclear risk of bias in the index test domain, 121 (28.6%) in the reference standard domain and 157 (37.1%) in the flow and timing domain. This study demonstrates the incomplete uptake of quality assessment tools in reviews of AI-based diagnostic accuracy studies and highlights inconsistent reporting across all domains of quality assessment. Poor standards of reporting act as barriers to clinical implementation. The creation of an AI-specific extension for quality assessment tools of diagnostic accuracy AI studies may facilitate the safe translation of AI tools into clinical practice.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Attention-guided deep learning for gestational age prediction using fetal brain MRI,https://www.nature.com/articles/s41598-022-05468-5,26 Jan 2022,"Magnetic resonance imaging offers unrivaled visualization of the fetal brain, forming the basis for establishing age-specific morphologic milestones. However, gauging age-appropriate neural development remains a difficult task due to the constantly changing appearance of the fetal brain, variable image quality, and frequent motion artifacts. Here we present an end-to-end, attention-guided deep learning model that predicts gestational age with R2 score of 0.945, mean absolute error of 6.7 days, and concordance correlation coefficient of 0.970. The convolutional neural network was trained on a heterogeneous dataset of 741 developmentally normal fetal brain images ranging from 19 to 39 weeks in gestational age. We also demonstrate model performance and generalizability using independent datasets from four academic institutions across the U.S. and Turkey with R2 scores of 0.81–0.90 after minimal fine-tuning. The proposed regression algorithm provides an automated machine-enabled tool with the potential to better characterize in utero neurodevelopment and guide real-time gestational age estimation after the first trimester.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Intranasal insulin modulates cerebrospinal fluid markers of neuroinflammation in mild cognitive impairment and Alzheimer’s disease: a randomized trial,https://www.nature.com/articles/s41598-022-05165-3,25 Jan 2022,"Intranasal insulin (INI) has shown promise as a treatment for Alzheimer’s disease (AD) in pilot clinical trials. In a recent phase 2 trial, participants with mild cognitive impairment (MCI) or AD who were treated with INI with one of two delivery devices showed improved cerebral spinal fluid (CSF) biomarker profiles and slower symptom progression compared with placebo. In the cohort which showed benefit, we measured changes in CSF markers of inflammation, immune function and vascular integrity and assessed their relationship with changes in cognition, brain volume, and CSF amyloid and tau concentrations. The insulin-treated group had increased CSF interferon-γ (p = 0.032) and eotaxin (p = 0.049), and reduced interleukin-6 (p = 0.048) over the 12 month trial compared to placebo. Trends were observed for increased CSF macrophage-derived chemokine for the placebo group (p = 0.083), and increased interleukin-2 in the insulin-treated group (p = 0.093). Insulin-treated and placebo groups showed strikingly different patterns of associations between changes in CSF immune/inflammatory/vascular markers and changes in cognition, brain volume, and amyloid and tau concentrations. In summary, INI treatment altered the typical progression of markers of inflammation and immune function seen in AD, suggesting that INI may promote a compensatory immune response associated with therapeutic benefit.",Conclusions not available,Gen AI,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Prediction and recommendation by machine learning through repetitive internal validation for hepatic veno-occlusive disease/sinusoidal obstruction syndrome and early death after allogeneic hematopoietic cell transplantation,https://www.nature.com/articles/s41409-022-01583-z,24 Jan 2022,"Using traditional statistical methods, we previously analyzed the risk factors and treatment outcomes of veno-occlusive disease/sinusoidal obstruction syndrome (VOD/SOS) after allogeneic hematopoietic cell transplantation. Within the same cohort, we applied machine learning to create prediction and recommendation models. We analyzed 2572 transplants using eXtreme Gradient Boosting (XGBoost) to predict post-transplant VOD/SOS and early death. Using the XGBoost and SHapley Additive exPlanations (SHAP), we found influential factors and devised recommendation models, which were internally verified by repetitive ten-fold cross-validation. SHAP values suggested that gender, busulfan dosage, age, forced expiratory volume, and Disease Risk Index were significant factors for VOD/SOS. The areas under the receiver operating characteristic curves and the areas under the precision-recall curve of the models were 0.740, 0.144 for all VOD/SOS, 0.793, 0.793 for severe to very severe VOD/SOS, and 0.746, 0.304 for early death. According to our single feature recommendation, following the busulfan dosage was the most effective for preventing VOD/SOS. The recommendation method for six adjustable feature sets was also validated, and a subgroup corresponding to five to six features showed significant preventive power for VOD/SOS and early death. Our personalized treatment set recommendation showed reproducibility in repetitive internal validation, but large external cohorts should prospectively validate our model.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
External validation of deep learning-based bone-age software: a preliminary study with real world data,https://www.nature.com/articles/s41598-022-05282-z,24 Jan 2022,"Artificial intelligence (AI) is increasingly being used in bone-age (BA) assessment due to its complicated and lengthy nature. We aimed to evaluate the clinical performance of a commercially available deep learning (DL)–based software for BA assessment using a real-world data. From Nov. 2018 to Feb. 2019, 474 children (35 boys, 439 girls, age 4–17 years) were enrolled. We compared the BA estimated by DL software (DL-BA) with that independently estimated by 3 reviewers (R1: Musculoskeletal radiologist, R2: Radiology resident, R3: Pediatric endocrinologist) using the traditional Greulich–Pyle atlas, then to his/her chronological age (CA). A paired t-test, Pearson’s correlation coefficient, Bland–Altman plot, mean absolute error (MAE) and root mean square error (RMSE) were used for the statistical analysis. The intraclass correlation coefficient (ICC) was used for inter-rater variation. There were significant differences between DL-BA and each reviewer’s BA (P < 0.025), but the correlation was good with one another (r = 0.983, P < 0.025). RMSE (MAE) values were 10.09 (7.21), 10.76 (7.88) and 13.06 (10.06) months between DL-BA and R1, R2, R3 BA. Compared with the CA, RMSE (MAE) values were 13.54 (11.06), 15.18 (12.11), 16.19 (12.78) and 19.53 (17.71) months for DL-BA, R1, R2, R3 BA, respectively. Bland–Altman plots revealed the software and reviewers’ tendency to overestimate the BA in general. ICC values between 3 reviewers were 0.97, 0.85 and 0.86, and the overall ICC value was 0.93. The BA estimated by DL-based software showed statistically similar, or even better performance than that of reviewers’ compared to the chronological age in the real world clinic.",Conclusions not available,DNN,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
The application of a deep learning system developed to reduce the time for RT-PCR in COVID-19 detection,https://www.nature.com/articles/s41598-022-05069-2,24 Jan 2022,"Reducing the time to diagnose COVID-19 helps to manage insufficient isolation-bed resources and adequately accommodate critically ill patients. There is currently no alternative method to real-time reverse transcriptase polymerase chain reaction (RT-PCR), which requires 40 cycles to diagnose COVID-19. We propose a deep learning (DL) model to improve the speed of COVID-19 RT-PCR diagnosis. We developed and tested a DL model using the long short-term memory method with a dataset of fluorescence values measured in each cycle of 5810 RT-PCR tests. Among the DL models developed here, the diagnostic performance of the 21st model showed an area under the receiver operating characteristic (AUROC), sensitivity, and specificity of 84.55%, 93.33%, and 75.72%, respectively. The diagnostic performance of the 24th model showed an AUROC, sensitivity, and specificity of 91.27%, 90.00%, and 92.54%, respectively.",Conclusions not available,"Traditional ML, DNN",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Application of ensemble machine learning algorithms on lifestyle factors and wearables for cardiovascular risk prediction,https://www.nature.com/articles/s41598-021-04649-y,20 Jan 2022,"This study looked at novel data sources for cardiovascular risk prediction including detailed lifestyle questionnaire and continuous blood pressure monitoring, using ensemble machine learning algorithms (MLAs). The reference conventional risk score compared against was the Framingham Risk Score (FRS). The outcome variables were low or high risk based on calcium score 0 or calcium score 100 and above. Ensemble MLAs were built based on naive bayes, random forest and support vector classifier for low risk and generalized linear regression, support vector regressor and stochastic gradient descent regressor for high risk categories. MLAs were trained on 600 Southeast Asians aged 21 to 69 years free of cardiovascular disease. All MLAs outperformed the FRS for low and high-risk categories. MLA based on lifestyle questionnaire only achieved AUC of 0.715 (95% CI 0.681, 0.750) and 0.710 (95% CI 0.653, 0.766) for low and high risk respectively. Combining all groups of risk factors (lifestyle survey questionnaires, clinical blood tests, 24-h ambulatory blood pressure and heart rate monitoring) along with feature selection, prediction of low and high CVD risk groups were further enhanced to 0.791 (95% CI 0.759, 0.822) and 0.790 (95% CI 0.745, 0.836). Besides conventional predictors, self-reported physical activity, average daily heart rate, awake blood pressure variability and percentage time in diastolic hypertension were important contributors to CVD risk classification.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
